date,amount,category,description
01-07-2024,1000,Income,Salary
02-07-2025,50,Expense,Groceries
03-07-2025,150,Expense,Utilities
04-07-2025,200,Income,Freelance Work
05-07-2025,75,Expense,Restaurant
06-07-2025,100,Expense,Transport
07-07-2025,500,Income,Bonus
08-07-2025,30,Expense,Snacks
09-07-2025,250,Income,Stock Dividends
10-07-2025,90,Expense,Entertainment
11-07-2025,60,Expense,Coffee
12-07-2025,120,Expense,Gas
13-07-2025,80,Expense,Books
14-07-2025,150,Expense,Clothing
15-07-2025,1100,Income,Salary
16-07-2025,40,Expense,Stationery
17-07-2025,180,Expense,Utilities
18-07-2025,250,Income,Freelance Work
19-07-2025,70,Expense,Restaurant
20-07-2025,130,Expense,Transport
21-07-2025,600,Income,Bonus
22-07-2025,35,Expense,Snacks
23-07-2025,300,Income,Stock Dividends
24-07-2025,100,Expense,Entertainment
25-07-2025,55,Expense,Coffee
26-07-2025,140,Expense,Gas
27-07-2025,90,Expense,Books
28-07-2025,170,Expense,Clothing
29-07-2025,1200,Income,Salary
30-07-2025,45,Expense,Stationery
31-07-2025,190,Expense,Utilities
20-07-2025,124.0,Expense,Groceries
29-06-2026,2500.0,Income,Birthday
30-06-2026,1000.0,Expense,Nopee
05-04-2026,200.0,Income,Pocket Money
06-04-2026,200.0,Expense,water
07-04-2026,20000.0,Income,haram income
08-04-2026,90.0,Expense,water
15-04-2026,10000.0,Income,
15-04-2026,100.0,Expense,shopping
15-04-2026,100.0,Expense,Shopping
15-04-2026,299.87,Expense,
17-04-2026,100.0,Expense,
